בא בדברים,ניהל משא ומתן
בא בימים,קשיש/זקן מאוד
בא כוח,נציג מטעם מישהו,מיופה כוח
בא עליו במקלו ובתיקו,תקף אותו בלהט הרגע
בא על שכרו,קיבל גמול על מעשיו
באו לעמק השווה,הסכימו/הגיעו למפשרה
באור,מתן הסבר/פירוש
באוש,רקוב ומצחין
באיבו,בעוד צעיר
באותו ובמופתים,באופן משכנע/שאי אפשר להתווכח איתו
באין ציפור שיר גם עורב זמיר,כשאין משהו טוב, מסתפקים במה שיש
בבואה,השתקפות של דמות
בבת עינו,דבר שיקר לו מאוד
בגדי חמודות,בגדים מהודרים וחגיגיים
בגדי שרד,מדים
בגילופין,בשכרות
בגין,בגלל
בגפו,לבדו
בד,ענף עבה
בד בבד,תוך כדי/בו זמנית
בדיה בדותה,שקר/כזב
בדחילו ורחימו,ביראה ובכבוד
בדימוס,לשעבר/שאחרי פרשיה
בדיעבד,לאחר מעשה
בדלנות,התרחק מהכלל/מצב מדיני שקבוצה רוצה להתנתק מהמדינה שהיא חלק ממנה
בדם ליבו,בשארית כוחותיו
בדם קר, בלי רחמים
בדמי,באמצע/בדממה
בדעה צלולה,בהכרה מלאה
בדק בית,בדיקה וביקורת עצמית