כָּפָּן,רעב
כפסע בינו לבין המוות,הוא נתון בסכנת חיים
כפתור ופרח,קריאת התפעלות למראה דבר יפה
כפתן,מעיל עליון ארוך ורחב שוליים
כצפיחית בדבש,כמשהוא מתוק וערב ביותר
כקליפת השום,דבר חסר ערך
כקש עובר,זמני
כר,1.שדה,מרעה, 2.כבש שמן ומפוטם
כֵרָה,סעודה גדולה
כָּרָה אוזן,הקשיב
כּרה לעצמו קבר,סגר לעצמו אפשרות
כרוב,מלאך
כריתות,גירושין
כְּרַך,עיר גדולה
כַּרכּוב,1.בליטה מסביב לכלי, 2.מוט לתליית וילונות
כִּרְכּוּר,ריקוד
כרסה בין שיניה,אישה בחדשי ההיריון האחרונים
כרת את הענף עליו ישב,הזיק לעצמו
כַּשַר,הצליח
כתב פלסתר,דיבה, השמצה
כתיתה,1.שניצל, 2.מעיכה,כתישה
כתם,זהב מובחר
כתמול שלשום,כבימים עברו
כתרנגרול בבני אדם,מי שרואה ואינו מבין כלום
כתש מים,עסק בעבודה חסרת תוחלת
כִּתֵת רגליו,הלך הרבה