מעורר פלצות ,מזוויע/מחריד
מְעֻושֶּׂה,מלאכותי/לא אמיתי/מזויף (כמו צחוק מעושה)
מעזבה,מקום מוזנח ועזוב
ששו בני מעיו,היה מאושר מאוד,מכאן- מהדרין- אנשים המקפידים מאוד על הפרטים
מְעִילָה,הונאה/פגיעה באמון
מעיין המתגבר, •מעיין ששפיעת מימיו גדלה והולכת •משל למי שאינו פוסק מליצור ולחדש
מֵעִיק,לוחץ/מכביד
מַעֲלֵי גֵּרָה,הבהמות אשר מעכלות ומוציאות את מזונן בכדי ללעוס אותו מספר פעמים
בְּמֹעַל יָד,בהרמת הידיים (כמו שהנאצים יימח שמם הצדיעו)
מִשִּׁכְמוֹ וָמַעְלָה,כינוי לאדם בעל שיעור קומה
בְּמַעֲמָד(מישהו),בנוכחותו של... (הטקס נערך במעמד ראש הממשלה) 
בְּאוֹתוֹ מַעֲמָד,בּוֹ בַּמָּקוֹם
מְעֻמְלָן,שיש בו עמילן,צווארון מעומלן הינו צווארון שגיהצו אותו בעמילן בכדי שיהיה קשיח
מַעַן,כתובת,אם תסתכלו על מעטפות, תראו שבחלקן כתוב  "המען"
מַעֲצָד,כלי עבודתו של הנגר
מַעֲקָשׁ,מכשול
מְעֹרֶה (מעורה),מעורב/יש לו חלק
מְעֻרְטָל (מעורטל),עירום/חשוף
מַעֲרָכָה ,מלחמה/קרב/שדה הקרב
שִׁדּוּד מַעֲרָכוֹת,שינוי הסדרים הישנים מהבסיס והחלפתם בחדשים
מַעֲרֶפֶת,השם העברי לגיליוטינה
מַעֲשֵׂה קֻנְדָּס,מתיחה/תעלול/שובבות
מעשנה,ארובה
מַעֲשֵׂר,עשירית/מה שהיו מפרישים מהיבול
מְפֻבְּרָק,מומצא/לא אמיתי
מַפְגִּיעַ,מבקש/מפציר
בְּמַפְגִּיעַ,באופן נמרץ/בכל התוקף