קוֹנְסֶרְבָטִיבִי,שמרני/ שמתנגד לשינויים (יש יהודים קונסרבטיבים)
קונפדרציה,התאגדות של מדינות/ כך שכל מדינה שומרת על עצמאותה (בניגוד לפדרציה/ שאז המדינות יותר קשורות זו בזו/ ופחות עצמאיות)
קוֹנְפוֹרְמִיסְט,מי שמתנהג לפי הנורמות המקובלות/ הולך בתלם (בניגוד לנונקונפורמיסט- מרדן/ שבועט במסגרות)
קוֹנְצֶנְזוּס,הסכמה כללית אין קונצנזוס אם כותבים את המילה קונסנזוס אם צ' או עם ס'
קוֹנְצֶרְן,התאחדות של מפעלים תחת הנהלה משותפת (כמו קונצרן כור)
קונקרטי,ממשי/ מוחשי/ ריאלי/ תכל'ס
קוסמוס,עולם/ יקום/ תבל/ חלד
קוֹף,חור המחט
קוֹפִיץ,סכין קצבים/ לחיתוך בשר
קֻפָּה שֶׁל שְׁרָצִים (תְּלוּיָה לוֹ מֵאֲחוֹרָיו),אוסף של עבירות ומעשים רעים שעשה אדם בעברו/ כמו קופה מלאה בחרקים
קוֹצוֹ שֶׁל יוֹד,דבר קטן וחסר ערך (כמו השפיץ הקטן בקצה האות יוד)
קוצר יד,חוסר יכולת
קוֹקֶטִי,גנדרני/ מטורזן/ מתנהג כמו טווס 
קוֹר רוּחַ,שליטה עצמית
קוֹרַת רוּחַ,שביעות רצון/ סיפוק. בניגוד למורת רוח- אי שביעות רצון/ רוגז. תזכרו- מורת רוח זה אי שביעות רצון/ כמו מה שמרגישים כלפי המורה מכיתה ד'!
קוּר,חוט דקיק/ כמו קורי עכביש •קורי שינה- כמו חוטים דמיונים דקיקים של שינה שעדיין תופסים אותך כשאתה קם
קֹרֶט / קֹרְטוֹב,מעט/ קמצוץ
קוּרְיוֹז,מקרה משעשע ומבדח
קורלציה,קשר/ מתאם (לדוגמא- ככל שאני לומד יותר אני נהיה עייף יותר)
קוּרְנָס,פטיש כבד/ מקבת
קוֹרֶקְטִי,ענייני ומנומס/ נאות
קוֹרַת גַּג,בית/ מקום ללון בו
קושיה,שאלה (כמו שבפסח/ ב"מה נשתנה?" שואלים את ארבעת הקושיות)
קוּשָׁן,תעודת רישום בעלות על קרקע
קושר,מי שמתכנן מרד/ קשר.
קוֹשֵׁשׁ,אסף/ ליקט (בדרך כלל זרדים וענפים להסקה)
קָזוּס בֶּלִי,עילה למלחמה (כמו פלישת גרמניה הנאצית לפולין)
קטגוריה,הצד התובע במשפט (שרוצה להרשיע את הנאשם) בניגוד לסנגוריה- הצד של ההגנה (שרוצה לזכות אותו) •מקטרג- טוען נגד/ מלמד חובה (ההפך ממסנגר- מליץ יושר)
קטגורי,מוחלט/ מכריע/ סופי
קָטוּם,שקצהו חתוך/ שחתכו את השפיץ שלו (קיטום זה מה שעושים למקור של אפרוחים/ כדי שהוא לא יהיה חד והם ינקרו זה את זה) 