שעה קלה,זמן קצר
שִׁעוּר,מידה/כמות •שיעור קומה- גדולה
לְשִׁעוּרִין,במנות/לא בבת אחת/טיפה טיפה אני תמיד מכין את השיעורים (שיעורי הבית) לשעורין 
שְׁעָטָה,ריצה מהירה/דהרה (שעטת סוסים)
שׁעטנז,שילוב אסור של שני דברים לא קשורים וסותרים. (צמר ופישתים/כסף וזהב)
שָׂעִיר /  שעיר עיזים,תיש •שעיר לעזאזל- מי שתולים בו את האשמה על דברים שהוא לא עשה. קורבן של כולם. (במקור זה היה קורבן של תיש שזרקו מצוק ביום כיפור. הוא היה סמל לחטאי העם/ובכך היה מכפר על חטאים. כן/מזוויע)
שַׁעַל,צעד/פסע •על כל שעל וצעד- בכל מקום/לא שלא תפנה
שיערוך,הערכה מחדש
שְׁעַת כֹּשֶׁר,ההזדמנות המתאימה
שעתוק,העתקה מדוייקת של יצירה
שִׁפּוּלִים,מרגלות /החלק הנמוך. מהמילה שפל- נמוך (שיפולי שמלתה התלכלכו בבוץ/או הכפר שכן לשיפולי ההר. אומרים גם על מישהו שמן/שיפולי בטנו- השומן שמשתפל ויורד מטה מהבטן שלו)
שָׁפוּף,רכון/כפוף/שָׁחוּחַ
שִׁפְחָה,משרתת/אמה/עבד ממין נקבה
שָׁפִיר,סביר/טוב/מניח את הדעת
שפר עליו מזלו,התמזל מזלו/הצליח לו	
שפך אש וגפרית,שפך את זעמו/זעם וקילל	
לשפוך את התינוק עם המים,להרוס משהו טוב תוך כדי ניסיון להעיף משהו רע. (תחשבו שאתם באים לנקות אמבטיה של תינוק מהמים המלוכלכים/ויחד עם המים אתם שופכים את התינוק. פעם היו מקלחות כאלה שנפתחות מלמה לריקון המים/וזה מה שהיה קורה)	
שפך עליו קיתונות של בוז,שפך עליו דליים של בוז	
שפל,•	אדם נבזה/גס רוח ובוטה •נמוך
שֵׁפֶל הַמַּדְרֵגָה,המצב הכי גוע שאפשר להגיע אליו. נאחס	
שְׁפַל רוּחַ,צנוע/ענו/נחבא אל הכלים. (משפיל את הרוח של עצמו)	
שָׁפַת,בישל/שם על האש (לשפות קומקום)	
שֶׁצֶף,זרימה חזקה •בשצף קצף- בכעס רב/בחמת זעם (לקצוף- לזעום)	
שַׂק ואפר,בגדי אבלות/מצב של אבל כבד	
שיקוף,להראות דבר בחזרה/כמו מראה (התנהגותך משקפת את מצבך הנפשי- זה אומר שהיא מראה את המצב הנפשי שלך)	
שיקוץ,תועבה/דבר מאוס	
שקיקה,התלהבות/חשק רב (קראתי את הספר בשקיקה)	